candname,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
DELAY,2,15000,571683,1,0,0.092842102,0,0,9.090911865,1
LIVINGSTON,2,22900,402109,1,0,0,0,0,18.02859497,0
ARMEY,2,0,303288,1,0,0.055661201,0,0,0.15322113,0
BOEHNER,2,2500,298906,1,0,0.301388741,0,0,9.805923462,0
GINGRICH,2,3500,271662,1,0,0.105507851,0,0,21.29724121,0
CRANE,2,7250,256609,1,0,0.113679409,0,0,0.970375061,0
BARTON,2,1000,254698,1,0,0.074308872,0,0,12.35955811,0
PAXON,2,7000,248537,1,0,0.15970993,0,0,9.090911865,0
KASICH,2,3000,248277,1,0,-0.066242218,0,0,24.20837402,0
COX,2,0,225947,1,0,0.084072113,0,0,16.64963531,0
DUNN,2,5500,225728,1,0,0.172515869,-1,1,14.45352173,0
MOLINARI,2,25850,224273,1,0,0.218222141,0,0,14.60673904,0
SOLOMON,2,5485,217577,1,0,0.115440369,0,0,8.886619568,0
SCHAEFER,2,3500,217499,1,0,0.158588409,0,0,16.08784485,0
THOMAS,2,7000,216526,1,0,0.085883141,0,0,14.1470871,0
BLILEY,2,-3000,211086,1,0,0,0,0,16.18999481,0
LAZIO,2,18585,196770,1,0,0.287602186,-1,0,10.26557541,0
HASTERT,2,13050,165808,1,0,0.127214909,0,0,20.22471619,0
SHUSTER,2,14500,163486,1,0,0,0,0,11.64453125,0
KLUG,2,-4000,160943,1,0,0.120871067,0,0,9.141983032,0
BILIRAKIS,2,7500,160242,1,0,0.52893877,0,0,13.12564087,0
MCCOLLUM,2,-1000,156893,1,0,0.377694607,0,0,14.19816589,0
DREIER,2,1500,154899,1,0,0.111445427,0,0,9.039840698,0
RICHARDSON,1,28050,148731,-1,0,-0.061436176,0,0,5.515830994,0
DEAL,1,-2550,147011,0,1,-0.022241592,-1,0,12.15526199,0
HOBSON,2,-3500,146280,1,0,0.338905334,0,0,14.35137939,0
CONDIT,1,8840,145085,-1,0,-0.394376755,0,0,7.252300262,0
YOUNG,2,38249,143833,1,0,0.195557594,0,0,16.75178909,0
DINGELL,1,-19690,143215,-1,0,-0.120634556,0,0,-0.817159653,0
HYDE,2,1000,140092,1,0,0.144411564,0,0,18.74361801,0
BAKER,2,1400,131293,1,0,0.152659893,-1,0,18.33503723,0
JOHNSON,2,4500,126903,1,0,0,0,1,12.15525818,0
RAMSTAD,2,8500,121924,1,0,0.113432884,0,1,10.01021576,0
OXLEY,2,0,121631,1,0,0.487662792,0,0,15.62819672,0
COMBEST,2,0,121250,1,0,0.249423504,0,0,29.87742615,0
FAZIO,1,113800,119670,-1,0,-0.075506687,0,0,4.545455933,0
LAUGHLIN,1,-24165,116332,0,1,-0.250166893,0,1,18.18181992,0
ORTON,1,110400,114656,-1,0,-0.032496452,0,0,0.868236542,0
BAESLER,1,80800,109250,-1,0,-0.031106949,-1,0,11.89989853,0
WALSH,2,5500,108086,1,0,0.033178806,0,0,11.89989853,0
EWING,2,2500,107763,1,0,0.13750124,0,0,14.09602356,0
SCHUMER,1,66677,103600,-1,0,-0.319998741,0,0,7.456588745,0
PETERSON,1,-25500,102270,-1,0,0.012203217,0,0,6.639427185,0
JOHNSON,2,-3973,101991,1,0,-0.092203617,0,0,12.30847931,0
HAMILTON,1,112825,101837,-1,0,-0.292011261,0,0,8.52911377,0
ROYCE,2,-500,101701,1,0,0.14828825,-1,0,8.835548401,0
LUCAS,2,1500,100551,1,0,0.03188324,0,0,15.32175446,0
FRANKS,2,7650,98129,1,0,0.08709383,-1,0,7.252300262,0
FROST,1,180825,97337,-1,0,-0.123934984,0,0,2.09397316,0
MCCRERY,2,1000,95162,1,0,0.461733818,0,0,20.88865662,0
WAXMAN,1,8000,93705,-1,0,0.002182484,0,0,3.728295326,0
COLLINS,2,8150,91948,1,0,0.179517269,-1,1,20.07150269,0
STEARNS,2,2200,91739,1,0,0.425321102,0,0,14.1470871,0
SKEEN,2,-50,90750,1,0,0.163838387,0,0,17.00714874,0
SPENCE,2,15800,90450,1,0,0,0,0,17.41573334,0
LINDER,2,3000,87825,1,0,0.135532856,-1,1,13.3809967,0
CUNNINGHAM,2,15000,81661,1,0,0.123569012,0,0,12.51276398,0
COBLE,2,4000,80230,1,0,0.345522881,0,0,3.881507874,0
MCHUGH,2,3350,79753,1,0,0.087871552,-1,0,5.515830994,0
CRAPO,2,-500,78232,1,0,0.1710639,-1,0,11.08274078,0
OBERSTAR,1,35500,77733,-1,0,-0.01292181,0,0,0.051073074,0
SPRATT,1,82297,77266,-1,0,-0.161116123,0,0,5.515830994,0
KING,2,57850,77029,1,0,0.145584345,-1,0,5.822265625,0
STENHOLM,1,9000,76516,-1,0,-0.208128214,0,0,5.260467529,0
BOEHLERT,2,45164,75944,1,0,0.08290863,0,0,11.44024658,0
EDWARDS,1,64000,75703,-1,0,-0.130055428,0,0,4.443309784,0
HOUGHTON,2,5527,75142,1,0,0.296494484,0,0,14.96424484,0
TANNER,1,5650,74333,-1,0,-0.449385643,0,0,6.281921387,0
SKELTON,1,54999,72606,-1,0,-0.038039684,0,0,10.8273735,0
HERGER,2,5500,72542,1,0,0.016428471,0,0,14.24923706,0
DOOLEY,1,15910,71038,-1,0,-0.134401798,0,0,9.703777313,0
TAUZIN,1,-6250,69946,0,1,0,0,0,14.40245056,0
LEWIS,2,14500,69850,1,0,0.053841591,0,0,15.42390442,0
PETRI,2,9700,68970,1,0,0.63725853,0,0,6.996940613,0
GORDON,1,57500,68214,-1,0,-0.139955521,0,-1,10.77629852,0
BURTON,2,5000,68141,1,0,0.065309048,0,0,5.311546326,0
PACKARD,2,2500,66046,1,0,0.126074791,0,0,12.97241974,0
FAWELL,2,2000,65468,1,0,0.067317486,0,0,8.52910614,0
VENTO,1,69079,65455,-1,0,-0.074881554,0,0,2.502554893,0
PORTER,2,6000,64849,1,0,0.151347637,0,0,12.00204086,0
SAXTON,2,6900,64044,1,0,0.09761095,0,0,13.53421402,0
BUNNING,2,0,63229,1,0,0.187454224,0,0,17.9775238,0
TAYLOR,1,16000,61914,-1,0,-0.064461708,0,0,0.306434631,0
ROUKEMA,2,-1550,61690,1,0,0.037549019,0,0,6.894790649,0
WELDON,2,3200,60400,1,0,0.04886961,0,0,9.550563812,0
YOUNG,2,1500,60105,1,0,0.569620609,0,0,13.2277832,0
BEREUTER,2,0,59668,1,0,0.047890663,0,0,11.89989471,0
COYNE,1,87077,59067,-1,0,-0.094106674,0,0,7.150156021,0
BONILLA,2,6037,58598,1,0,0.033048153,-1,0,13.17671204,0
HUNTER,2,15650,54951,1,0,0.180519581,0,0,10.72522736,0
GOODLATTE,2,1500,53826,1,0,0.509626389,-1,0,10.98059082,0
GEPHARDT,1,70300,53231,-1,0,-0.106966496,0,0,2.502555847,0
HEFLEY,2,1500,51400,1,0,0.308483601,0,0,5.822265625,0
WOLF,2,11750,48335,1,0,0.421670914,0,0,9.090911865,0
EVERETT,2,1000,48301,1,0,0.370404482,-1,0,22.01225281,0
CRAMER,1,75547,46654,-1,0,-0.286349535,0,0,12.10419083,0
DIAZ-BALART,2,6500,46617,1,0,0,-1,1,12.41062164,0
FRANK,1,23452,45840,-1,0,0.327102184,0,0,11.54239082,0
POMEROY,1,25375,44839,-1,0,-0.094003677,-1,0,2.145046234,0
FOWLER,2,2700,44079,1,0,0.566549778,-1,0,13.585289,0
SENSENBRENNER,2,500,43599,1,0,0.337222576,0,0,-1.940757751,0
BLUTE,2,14300,43093,1,0,0.038052797,-1,0,9.193054199,0
DUNCAN,2,22200,41947,1,0,0.304855347,0,0,-5.464759827,0
MCKINNEY,1,73077,40643,-1,0,-0.108328819,-1,0,1.123596191,0
MCDADE,2,18700,35806,1,0,-0.387473106,0,0,15.57712173,0
BALLENGER,2,-1000,34874,1,0,0.091031075,0,0,9.090911865,0
DEUTSCH,1,-38500,34151,-1,0,0.040006638,-1,0,4.443309784,0
ESHOO,1,-2420,34067,-1,0,0.023338318,-1,0,6.332994461,0
EVANS,1,123025,32800,-1,0,-0.097238779,0,0,1.430029869,0
UPTON,2,1250,32398,1,0,0.182966232,0,0,9.908069611,0
ABERCROMBIE,1,153350,30784,-1,0,-0.313842773,0,0,6.945864677,0
QUINN,2,62612,30603,1,0,0.231528997,-1,0,5.873344421,0
HARMAN,1,-36732,29969,-1,0,-0.061681747,-1,0,10.62308502,0
BAKER,2,1000,29600,1,0,0,0,0,10.62308502,0
HALL,1,8800,28995,-1,0,-0.006288052,0,0,2.91113472,0
KLECZKA,1,99235,28184,-1,0,-0.208272934,0,0,7.967311859,0
CAMP,2,2750,27555,1,0,0.143754482,0,0,12.51276398,0
PAYNE,1,51940,27088,-1,0,-0.024587631,0,0,-0.153215408,0
BATEMAN,2,16500,26132,1,0,0.239730835,0,0,23.49336243,0
MCKEON,2,2000,25910,1,0,0.09703064,-1,0,15.67926025,0
CALLAHAN,2,4000,25404,1,0,0.081027508,0,0,16.70071411,0
TRAFICANT,1,21240,24645,-1,0,-0.083666325,0,0,15.88355255,0
MICA,2,9500,24548,1,0,0.261955738,-1,0,13.585289,0
ARCHER,2,-1000,23625,1,0,0,0,0,20.48007965,0
ROS-LEHTINEN,2,14650,23434,1,0,0.403796673,0,0,11.7466774,0
PALLONE,1,-4608,23382,-1,0,0.133610249,0,0,-2.553627014,0
GILMAN,2,-23113,22015,1,0,0.006680489,0,0,16.85393143,0
BISHOP,1,46700,20323,-1,0,0.038074493,-1,0,7.456588745,0
JOHNSON,1,47900,20217,-1,0,-0.00164938,-1,0,4.187947273,0
TALENT,2,-500,20125,1,0,0.2895751,-1,0,17.9775238,0
GALLEGLY,2,1800,19654,1,0,0.220250607,0,0,14.04494476,0
GOSS,2,0,19000,1,0,0,0,0,8.120529175,0
LAFALCE,1,12875,18167,-1,0,-0.008594513,0,0,-3.626146317,0
RUSH,1,-4250,18118,-1,0,-0.088439941,-1,0,0.357509613,0
KNOLLENBERG,2,-500,18044,1,0,0.159196854,-1,1,6.281921387,0
GEKAS,2,500,17375,1,0,0.363771439,0,0,12.20633698,0
MCHALE,1,31900,16701,-1,0,-0.051592112,-1,0,3.472930908,0
ROHRABACHER,2,0,16300,1,0,0.169784069,0,0,5.771194458,0
STUMP,2,500,15367,1,0,0.089178562,0,0,0.459655762,0
MCINNIS,2,-2500,14290,1,0,0.225095272,-1,1,19.91828156,0
ACKERMAN,1,-69550,13700,-1,0,0.039621115,0,0,2.860061646,0
KAPTUR,1,-27820,13450,-1,0,-0.023623943,0,0,-0.20429039,0
FURSE,1,-11550,13397,-1,0,-0.038558245,-1,0,4.443309784,0
ORTIZ,1,21600,13270,-1,0,0.0487113,0,0,5.924411774,0
OLVER,1,59327,12700,-1,0,0.611327648,0,-1,5.720122337,0
TEJEDA,1,24500,12337,-1,0,-0.32854557,-1,0,8.426967621,0
MORELLA,2,9799,11632,1,0,-0.031443596,0,0,11.18488312,0
ROEMER,1,14750,11284,-1,0,-0.040173054,0,0,9.499488831,0
CARDIN,1,35050,11223,-1,0,-0.0351367,0,0,9.499490738,0
DANNER,1,-46310,10801,-1,0,0.176455021,-1,0,9.959140778,0
DOOLITTLE,2,-1000,10720,1,0,0.200356722,0,0,9.039833069,0
ISTOOK,2,0,9860,1,0,0.627509356,-1,0,17.72216034,0
