,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
1,2,4000,25404,1,0,0.0810275077819824,0,0,16.7007141113281,0
2,2,1000,48301,1,0,0.370404481887817,-1,0,22.0122528076172,0
3,1,75547,46654,-1,0,-0.286349534988403,0,0,12.104190826416,0
4,2,6500,-16614,1,0,0.385755300521851,-1,0,9.19305419921875,0
5,1,-34950,-42200,-1,0,-0.0389761924743652,-1,0,0.510724067687988,0
6,2,38249,143833,1,0,0.195557594299316,0,0,16.7517890930176,0
7,1,37800,-5769,-1,0,-0.0463948249816895,0,-1,2.19611740112305,0
8,2,500,15367,1,0,0.0891785621643066,0,0,0.45965576171875,0
9,2,0,6392,1,0,0.0157618522644043,0,0,14.147087097168,0
10,2,0,3654,1,0,-0.010197639465332,-1,1,18.1818237304688,0
11,2,5500,72542,1,0,0.0164284706115723,0,0,14.2492370605469,0
12,1,113800,119670,-1,0,-0.0755066871643066,0,0,4.54545593261719,0
13,2,-1000,10720,1,0,0.200356721878052,0,0,9.03983306884766,0
14,1,-22300,-138879,-1,0,-0.0373611450195312,0,0,7.405517578125,0
15,1,-39150,-7629,-1,0,-0.0824975967407227,-1,0,3.42185974121094,0
16,1,-4275,-47075,-1,0,-0.0261883735656738,0,0,-1.43002986907959,0
17,1,1000,-15547,-1,0,-0.0746650695800781,0,0,9.65270805358887,0
18,1,-4000,-49491,-1,0,0.0105729103088379,0,0,1.07252442836761,0
19,2,1400,131293,1,0,0.152659893035889,-1,0,18.3350372314453,0
20,2,-3500,-29615,1,0,0.226327180862427,-1,0,28.3963241577148,0
21,1,-37600,-16750,-1,0,-0.10242223739624,0,0,-2.86006164550781,0
22,1,-62400,-179917,-1,0,0.0379080772399902,0,0,-1.0725212097168,0
23,1,-2420,34067,-1,0,0.0233383178710938,-1,0,6.33299446105957,0
24,1,80615,-31752,-1,0,-0.33185338973999,-1,0,6.89479064941406,0
25,1,8840,145085,-1,0,-0.394376754760742,0,0,7.25230026245117,0
26,1,15910,71038,-1,0,-0.134401798248291,0,0,9.70377731323242,0
27,2,7000,216526,1,0,0.0858831405639648,0,0,14.147087097168,0
28,2,1800,19654,1,0,0.220250606536865,0,0,14.0449447631836,0
29,2,2000,25910,1,0,0.0970306396484375,-1,0,15.6792602539062,0
30,1,150,-20720,-1,0,-0.0143089294433594,0,0,8.5291109085083,0
31,2,1500,154899,1,0,0.111445426940918,0,0,9.03984069824219,0
32,1,8000,93705,-1,0,0.0021824836730957,0,0,3.72829532623291,0
33,1,-10500,-14521,-1,0,-0.0112485885620117,-1,0,-4.2900915145874,0
34,1,-28750,-900,-1,0,-0.0564470291137695,0,0,0.459651947021484,0
35,1,-14000,-35795,-1,0,-0.204076766967773,0,0,5.6690502166748,0
36,1,-6250,-9695,-1,0,0.182647705078125,-1,0,2.5025520324707,0
37,1,150,-18995,-1,0,0.00114965438842773,0,0,3.47292900085449,0
38,1,-17450,-21157,-1,0,-0.090519905090332,0,0,1.2257399559021,0
39,1,-36732,29969,-1,0,-0.0616817474365234,-1,0,10.6230850219727,0
40,2,-500,1000,1,0,0.149183988571167,-1,0,11.0827369689941,0
41,2,-500,101701,1,0,0.148288249969482,-1,0,8.83554840087891,0
42,2,14500,69850,1,0,0.0538415908813477,0,0,15.4239044189453,0
43,2,3000,9124,1,0,-0.0202555656433105,-1,0,16.2410583496094,0
44,1,33300,-52173,-1,0,-0.0456736087799072,0,0,0,0
45,2,11000,-6884,1,0,0.158267259597778,-1,0,16.9050064086914,0
46,2,0,16300,1,0,0.169784069061279,0,0,5.77119445800781,0
47,2,0,-21525,1,0,0.0960907936096191,0,0,9.65270233154297,0
48,2,0,225947,1,0,0.0840721130371094,0,0,16.6496353149414,0
49,2,2500,66046,1,0,0.12607479095459,0,0,12.9724197387695,0
