candname,chLab,chbus,chmaj,chdem,chsafe,chfrosh,chprest,chvotrec,inlead
Paul E Kanjorski (D),100891.06,1676898.69,1,0,0,0,0,0.300000012,0
Christopher Shays (R),-83764.8,1022083.664,-1,0,-0.003004588,0,0,2.599999905,0
Shelley Moore Capito (R),-5129.145,845536.976,-1,0,-0.003773805,0,-1,2.5,0
James E Clyburn (D),0,792306.321,1,0,-0.005645455,0,-1,-0.899999976,1
Joe Knollenberg (R),160216.143,755036.508,-1,0,-0.026749417,0,0,0.600000024,0
Charles B Rangel (D),16316.6,685537.829,1,0,0.00266593,0,0,-0.699999988,0
Phil English (R),-25515.5,619050.562,-1,0,-0.015091719,0,0,1.200000048,0
John D Dingell (D),35373.6,506660.132,1,0,0,0,0,-0.100000001,0
Steny H Hoyer (D),-29421.057,489688.9,1,0,0,0,0,-0.600000024,0
Dave Camp (R),5245,489285.622,-1,0,-0.011836488,0,0,2.400000095,0
Steve Kagen (D),22557.061,408519.575,1,0,0,0,0,0,0
Kendrick B Meek (D),-37521.25,407976.898,1,0,0,-1,1,0,0
Rahm Emanuel (D),-34385.86,385008.742,1,0,0.005119134,-1,0,0,0
Artur Davis (D),38048,355280.762,1,0,0,-1,1,0,0
Mark Kirk (R),999.5,348448.572,-1,0,-0.03990642,0,0,3.400000095,0
Richard E Neal (D),29851.425,344894.892,1,0,0,0,0,1,0
Bart Gordon (D),4110.325,333422.188,1,0,0.007956471,0,0,-0.5,0
Allyson Schwartz (D),-37925.172,324485.925,1,0,0.030533075,-1,1,0,0
Nancy Pelosi (D),-23088.1,321791.6,1,0,0.001017062,0,0,-1,0
Joe Courtney (D),-19682.757,312627.908,1,0,0,0,0,0,0
Chris Van Hollen (D),11100.815,305426.229,1,0,0.008033643,-1,1,0,0
Bennie G Thompson (D),-32074.7,287151.36,1,0,0.018812036,0,0,-1.399999976,0
Adam H Putnam (R),0,286146.425,-1,0,0,0,-1,-0.300000012,0
Michael Arcuri (D),-95383.525,286054.581,1,0,0,0,0,0,0
Xavier Becerra (D),8807.5,279398.175,1,0,0,0,0,-2.200000048,0
Ellen O Tauscher (D),7731.45,278653.903,1,0,0.002419084,0,0,1.200000048,0
John Barrow (D),-40927.795,278439.053,1,0,-0.006414671,-1,0,0,0
Ron Kind (D),-26468.3,275752.103,1,0,0.030018283,0,1,0,0
Sam Graves (R),11078.153,267570.15,-1,0,-0.004914525,0,0,0.899999976,0
"Giffords, Gabrielle",1796.517,265682.583,1,0,0,0,0,0,0
Mike Ross (D),-21140.75,264471.175,1,0,0,0,0,-0.100000001,0
John Lewis (D),63949.5,255813.776,1,0,0,0,0,0.100000001,0
Jon Porter (R),15893.977,251738.463,-1,0,-0.025745226,-1,1,0,0
Tim Walberg (R),1097.544,248317.903,-1,0,0,0,0,0,0
Rick Boucher (D),-985.35,248236.413,1,0,0.025239032,0,0,-1.100000024,0
Earl Pomeroy (D),-19688.06,241556.31,1,0,0.02122926,0,0,-0.699999988,0
Dan Boren (D),-67404.373,240261.225,1,0,0.021462284,-1,0,0,0
David R Obey (D),63473.95,234544.175,1,0,0,0,0,0.300000012,0
Debbie Wasserman Schultz (D),22704.2,231755.445,1,0,0,-1,0,0,0
Joseph Crowley (D),-21263.625,231081.26,1,0,0.007960488,0,1,0.800000012,0
John Tanner (D),-7943,228556.875,1,0,-0.003474983,0,0,1.100000024,0
"Boehner, John A.",0,225659.775,-1,0,0,0,0,0,0
Frank Pallone Jr (D),-22488.125,224440.365,1,0,0.002875313,0,0,4.099999905,0
Jim Marshall (D),-27593.946,211008.161,1,0,0.157718673,-1,0,-62.90000153,0
Allen Boyd (D),5870,207998.896,1,0,0,0,-1,0.100000001,0
Jim Matheson (D),-25681.5,205329.055,1,0,0.020059876,0,0,0,0
John Shadegg (R),66.129,205118.2,-1,0,0,0,0,2.400000095,0
James L Oberstar (D),-413.903,201158.139,1,0,-0.006824962,0,0,-0.200000003,0
G K Butterfield (D),7363,201081.895,1,0,0,-1,0,0,0
Shelley Berkley (D),22531.493,197983.939,1,0,-0.001401772,0,1,0.200000003,0
